id,question_id
214,93
215,93
197,85
208,96
209,96
16140,226
232,77
4527,343
84594,341
1457,140
83714,566
115543,556
65822,610
115545,556
1461,105
43638,739
115547,556
241,105
18003,462
2891,127
5515,416
115576,620
115588,697
115589,1120
115556,452
115553,420
84595,341
115592,454
115568,1067
115582,1034
115584,1034
43582,739
43589,739
115544,556
1458,133
3123,182
4531,333
262,24
99476,566
276,105
1462,140
1464,133
264,9
281,78
246,106
285,13
43591,739
1465,133
43599,739
43602,739
260,84
8364,569
7142,387
44198,371
266,103
4529,359
286,77
115546,556
251,105
256,105
263,8
265,105
1475,9
1463,140
270,105
4532,16
275,32
43603,739
43604,739
288,105
1477,146
43605,739
115549,556
82467,823
2893,126
16159,586
2896,54
4537,347
294,96
44200,371
287,78
252,102
257,102
272,102
253,103
271,103
289,103
47231,637
307,78
297,106
1469,124
16153,307
304,90
115551,556
43615,739
300,103
1486,136
43637,739
1468,126
7144,338
3127,286
299,9
43639,739
1480,85
16151,96
33165,193
16154,431
16155,226
7143,445
303,77
1474,9
1476,13
99479,1026
115550,1091
43641,739
312,69
313,105
43668,739
115552,586
317,105
43670,739
1483,146
327,105
331,105
319,103
314,101
306,106
4692,268
43672,739
43673,739
43674,739
43677,739
43679,739
43682,739
43684,739
43685,739
1479,102
320,103
1487,103
4535,358
4534,199
115558,880
1488,137
43686,739
43687,739
1498,147
349,105
1499,141
1500,105
362,105
332,106
8365,570
397,8
400,105
49166,747
1490,127
66698,765
4538,231
99481,321
328,77
43690,739
43692,739
43696,739
43697,739
16158,94
1497,144
324,103
342,103
355,103
3742,103
115559,622
83719,341
115557,1040
99488,1075
334,105
350,105
360,90
43699,739
345,10
43700,739
43702,739
43703,739
3743,155
1494,152
43704,739
43706,739
348,78
353,78
354,77
43708,739
341,106
1495,149
8366,571
33396,203
16160,96
4539,361
344,76
352,103
368,103
99482,1050
357,77
1496,146
16162,181
43710,739
84596,566
82755,823
18004,421
1501,135
1502,134
1503,136
4540,360
43711,739
43713,739
43715,739
43716,739
43717,739
43722,739
387,105
1509,28
1510,151
392,105
69646,337
381,106
4438,269
4543,12
1505,127
395,102
8367,572
391,103
67,77
378,52
367,106
375,106
1504,133
118972,1180
408,21
43723,739
61860,683
43724,739
43725,739
417,105
43728,739
83457,823
43729,739
43731,739
43739,739
43740,739
43745,739
43746,739
406,52
43747,739
43748,739
1507,105
418,102
115,78
116,77
158,78
159,77
308,77
329,78
398,106
401,103
43749,739
43755,739
43757,739
43759,739
44202,371
369,78
4439,269
17406,532
43760,739
414,105
424,69
43761,739
429,28
420,106
421,106
43762,739
1511,71
1516,105
426,9
431,72
444,90
443,35
84597,837
1521,149
438,13
404,84
2904,182
441,99
402,102
428,5
411,78
419,78
43764,739
449,66
43765,739
462,9
455,105
482,16
461,105
43767,739
43768,739
43779,739
480,105
43780,739
62478,744
481,106
2905,9
463,73
43791,739
4545,232
465,102
475,102
457,103
44204,371
44210,371
453,17
99487,204
44213,376
99484,1050
448,66
458,105
115579,322
115585,706
84598,341
115569,1067
43794,739
483,17
467,9
4544,333
1515,25
4547,227
7898,71
1522,147
85657,823
43796,739
479,102
43797,739
468,72
450,122
43798,739
1530,127
1531,101
456,103
4546,128
454,51
3133,155
115570,622
1524,35
1526,152
1529,141
1536,141
524,105
526,105
1537,140
4548,200
85660,823
491,28
492,28
43799,739
43801,739
11196,655
43804,739
43807,739
506,18
8368,573
43823,739
504,103
509,10
493,9
505,99
494,103
84604,200
496,106
497,106
498,13
3135,155
43874,739
512,105
69647,337
43878,739
85711,823
85717,823
519,105
522,18
523,18
4549,198
530,27
531,21
516,17
536,105
532,1
533,1
85719,823
786,105
787,105
788,105
86077,823
101837,823
65900,823
65901,823
65903,823
65905,823
527,84
521,102
520,103
4551,355
539,18
544,105
1539,152
541,103
43887,739
1545,140
43888,739
43911,739
83724,566
42395,731
550,106
1540,9
4583,269
548,122
43913,739
540,99
545,103
546,103
538,17
3136,61
547,103
549,103
115577,900
115578,706
115587,370
75310,337
83207,337
83209,337
43920,739
2906,253
43927,739
65906,823
571,71
572,71
576,105
83726,566
43931,739
575,19
66500,132
568,106
643,126
567,9
566,13
584,121
582,122
8369,574
11212,655
43972,739
583,122
43974,739
83728,230
1544,103
573,51
574,51
562,19
564,22
43998,739
44052,739
115574,452
44758,739
48694,739
50762,739
50763,739
56146,739
56163,739
619,124
621,36
615,19
589,106
597,106
1546,9
606,13
586,117
610,114
602,121
608,122
57755,739
1551,151
1552,151
4553,346
117801,1092
57934,739
57939,739
117820,1092
612,5
119122,1092
119864,1092
83730,414
604,52
588,51
58040,739
58054,739
58293,739
58310,739
1548,105
1549,105
83729,566
60923,739
1554,152
115575,556
54116,474
115580,774
63897,739
632,17
1550,153
630,124
633,124
67888,737
67885,531
640,124
590,106
84600,649
67883,372
639,121
1547,122
631,125
622,103
613,51
629,128
637,128
99490,1068
99489,1051
83731,566
115583,620
63912,739
64087,739
64095,739
64535,739
83738,687
83734,341
671,19
641,106
1562,90
642,126
3139,182
1563,105
115581,1040
65415,739
1567,133
1569,140
65416,739
657,127
660,127
65908,823
670,103
44206,371
676,128
99491,1073
119873,1092
121228,1092
122134,1092
559,51
644,106
16980,474
17298,474
19718,474
19783,474
20476,474
22480,474
23856,474
27418,474
30443,474
32080,474
32747,474
42098,474
53681,474
54213,474
54330,474
55933,474
57179,474
25497,478
99492,725
84601,338
128816,1092
4555,105
1560,132
5383,269
32,52
11219,655
11253,655
652,42
653,41
115586,327
4556,228
83732,566
1561,133
65976,823
57950,474
4558,207
84602,341
1566,150
119012,1180
4609,365
59256,474
692,71
694,130
664,106
690,28
666,127
679,126
8354,484
697,124
667,103
701,123
1568,124
44207,371
4560,213
678,124
1573,105
683,128
44214,732
119013,1180
60176,474
60716,474
60774,474
60947,474
61642,474
62134,474
65977,823
718,132
723,132
728,136
729,135
730,135
743,135
732,133
8355,141
2909,253
738,133
742,105
4557,141
752,135
753,134
719,41
1583,125
748,102
230,17
44208,371
709,11
705,41
741,103
62137,474
7899,71
1579,61
716,132
721,132
62141,474
4685,365
65978,823
727,105
731,134
736,135
737,134
739,136
84605,663
744,134
749,136
751,105
756,136
757,136
758,136
760,28
706,41
83733,566
745,127
44217,203
715,19
68128,765
725,130
44209,371
755,135
759,136
761,133
1584,152
1586,151
1589,152
1590,147
1593,152
119014,1180
1603,130
1604,152
71860,124
1582,43
1773,140
62144,474
83737,414
2695,32
68266,765
65979,823
83735,371
1596,102
1598,103
1610,103
1587,154
119015,1180
1591,127
1592,105
1594,152
1600,151
94169,783
763,28
764,135
765,136
68651,375
771,134
1606,146
83739,888
1611,151
68649,374
777,105
3699,134
1775,105
779,134
782,136
783,135
784,134
785,105
5418,269
68666,687
1602,61
767,102
766,103
780,103
1595,103
1774,154
108537,154
789,136
62564,474
70626,584
792,105
7900,71
1614,84
119022,1180
44212,742
799,71
800,71
801,71
802,71
803,71
804,105
805,136
3700,309
806,136
807,136
808,136
119026,1180
811,24
812,123
30217,335
64029,474
64212,474
795,103
815,128
70627,718
64284,474
819,28
64654,474
64669,474
83747,895
119027,1180
83750,837
83754,837
828,136
829,137
830,136
831,135
832,134
8356,105
834,135
835,134
836,123
73986,105
99493,555
838,102
842,105
83757,136
2696,198
845,137
83759,566
83742,153
67633,737
74090,737
305,79
311,79
837,103
846,103
853,136
854,133
856,105
878,130
864,136
865,136
868,71
16969,489
872,135
22313,489
1623,43
890,136
897,105
898,134
83744,566
904,137
905,137
906,137
1617,22
847,9
848,13
1621,105
1622,141
889,61
65980,823
882,103
2697,193
2698,195
894,128
99494,1076
25508,489
857,105
858,105
26416,489
83746,217
119044,1180
27422,489
860,129
891,137
892,133
899,61
902,124
903,137
11277,655
935,124
884,96
861,129
867,129
893,129
4942,372
1618,145
876,84
901,84
866,103
869,103
883,103
1620,154
895,124
99496,1071
119045,1180
31769,489
911,135
912,132
30220,634
1628,147
1631,141
921,129
922,105
923,141
924,141
927,140
929,134
32020,489
30221,711
932,136
933,135
7904,389
32074,489
7902,174
11278,655
7903,174
3144,127
101961,1083
101998,1083
1635,154
2699,199
1636,130
948,141
949,124
954,140
937,95
67011,823
7654,374
83751,566
1637,96
44215,371
942,56
945,126
1652,24
1654,28
70692,773
11279,655
11728,444
11963,444
44412,744
4943,372
8374,595
11983,444
12628,444
12652,444
12678,444
12690,444
12863,444
70628,791
940,102
951,128
938,140
941,105
943,141
32352,489
947,141
2700,200
99497,556
33468,489
129619,1007
67013,823
1677,159
1678,159
5522,396
7352,536
33479,489
71426,765
33483,489
68939,823
30222,6
1675,5
5639,431
68952,823
83756,371
83752,371
5996,374
1649,129
1683,102
939,103
1656,24
69070,823
30226,668
1672,105
1676,159
4770,356
33885,489
119046,1180
119108,1180
964,140
1673,149
967,123
969,136
970,141
83758,111
973,141
30224,687
1663,98
1665,96
73991,21
83761,418
963,103
962,13
1657,155
8375,597
968,103
972,103
30225,189
33909,489
981,105
70552,823
985,123
987,134
990,135
34294,489
34494,489
997,105
1005,140
1008,141
1010,133
83760,217
119110,1180
1024,141
1025,140
1030,135
3151,133
3152,134
977,127
5693,174
1706,155
3148,169
974,95
998,102
44216,371
1017,103
1011,128
1014,128
70553,823
119379,1180
988,141
991,140
992,141
994,136
34784,489
34791,489
1009,105
1015,141
1016,123
44234,740
1021,133
1029,136
1007,14
989,127
71715,765
980,95
979,84
1768,157
11285,655
1006,16
44219,371
1012,102
996,103
975,128
44238,718
119380,1180
1028,137
1031,134
1032,133
34800,489
1041,124
34841,489
83762,566
1045,133
1690,105
1691,36
1695,136
1696,159
1040,125
1700,158
1702,140
1699,144
5046,273
4582,222
5997,319
12866,444
12920,444
1704,103
74002,682
1705,61
13122,444
1712,154
1037,128
130073,253
1033,132
119384,1180
1042,123
119548,1180
1048,105
1049,134
8154,609
1051,134
1052,136
1053,132
1054,133
83767,418
83763,566
1057,123
35505,489
1060,105
1061,141
37608,489
1689,146
1066,136
1692,30
75682,765
1058,84
37737,489
70675,778
37856,489
37909,489
1065,102
1046,103
1693,136
123139,1158
2701,201
2706,201
37929,489
1082,133
70554,823
3149,132
1088,134
1083,102
1698,105
3150,135
1701,151
1707,140
1101,71
1102,141
83764,566
1708,140
1710,140
1711,140
1100,103
1719,71
3153,136
3156,105
1703,155
83766,837
1077,141
1081,136
115590,253
115591,253
37980,489
38111,489
44222,732
3157,181
1723,126
1717,71
1718,71
1721,27
1722,27
1121,134
1124,141
1126,105
115605,454
1726,30
2704,151
71532,823
1713,13
53040,670
1716,84
1084,102
1070,103
1079,103
2705,199
53050,683
1097,130
130076,895
130080,1007
38627,489
75664,823
38931,489
83768,895
1129,133
1130,136
38987,489
75666,823
1720,27
1724,32
1725,32
1727,30
1728,30
1729,30
1730,30
1731,30
1732,30
115593,929
2966,230
1133,106
1135,106
77173,823
77780,823
84988,823
3160,103
84989,823
84990,823
1122,102
92794,48
1132,105
1131,130
1745,24
1746,24
1747,24
1748,24
1749,24
1752,156
8155,609
1758,152
38988,489
1750,61
92796,48
92799,48
92805,48
93192,48
93194,48
93624,48
1153,84
74004,330
93686,48
56959,287
1754,84
119549,1180
2707,27
39209,489
5397,396
83769,888
17315,667
7914,585
1140,138
8380,603
77192,765
1144,136
1145,135
1146,133
1147,134
1136,97
1149,132
19539,287
19647,287
1152,134
70676,745
19824,287
19912,287
19914,287
19915,287
1158,141
1161,105
130082,1016
1168,140
39287,489
39732,489
102090,1083
1185,127
39799,489
39887,489
1179,105
102091,1083
39971,489
1187,105
1188,105
1190,136
1193,134
1194,133
1195,135
130084,1007
3167,65
3168,182
1163,13
11291,655
40015,489
40018,489
5398,398
40052,489
1155,126
1202,105
19941,287
40088,489
40228,489
1164,141
1165,133
1166,105
40385,489
1182,136
1183,136
1184,133
1189,105
1191,123
1192,132
1200,141
40502,489
5964,360
2973,188
40532,489
77672,765
19942,287
1201,106
4211,221
1159,16
40613,489
44232,737
19945,287
19976,287
1198,103
1186,130
1197,18
74015,309
1203,123
100503,1069
40722,489
119552,1180
1211,141
1227,122
41767,489
1214,141
1215,136
1216,136
1217,136
1218,133
1219,133
119553,1180
1221,123
43732,489
1222,90
1226,123
1199,13
3175,289
6174,202
80039,765
1206,103
1208,128
1210,128
3171,176
1239,28
1287,129
100504,1069
1250,147
1254,141
43766,489
46185,489
1276,123
1282,70
44237,717
1290,136
1291,105
1298,133
86159,765
17326,656
1245,9
1253,138
1277,144
1286,144
1292,144
1244,84
1294,102
1742,102
1271,103
5401,188
119554,1180
47042,489
1242,9
8540,630
51858,489
1314,146
2985,217
52935,489
1246,28
20223,287
1743,8
119605,1180
1256,147
1257,147
1258,137
2981,286
1260,146
1261,146
1262,146
1263,146
1264,146
1265,146
1301,134
83771,414
30229,220
1251,144
1230,90
119606,1180
53166,489
70677,341
119668,1180
1274,133
119674,1180
1278,133
13402,138
1280,147
1284,69
53649,489
1288,105
1751,126
1295,134
1296,136
1297,105
3173,117
1744,8
1304,105
1308,18
1310,135
1311,134
1306,9
1757,105
1755,155
3177,289
55604,489
1270,103
70680,635
70678,198
70679,774
1303,133
58918,489
1309,136
1312,133
100505,1069
83776,341
119676,1180
1324,105
1326,132
1335,9
60805,489
1347,140
1348,140
119991,1180
1361,147
1364,135
1783,157
1337,127
17331,629
1342,93
83775,230
1346,3
1353,5
60928,489
129654,631
1323,134
1325,133
1328,140
1367,147
1330,140
1331,140
30230,181
17329,318
61654,489
102092,1083
1349,140
129871,714
56313,765
1372,147
1344,94
1341,93
1345,6
4782,356
62627,489
1350,37
1339,96
1369,96
100508,1069
83772,414
1359,140
1362,28
74060,777
1370,150
86955,823
1374,146
1376,105
1377,141
1378,123
83773,414
1380,123
1762,136
1763,134
64246,489
83774,341
1373,96
64339,489
1365,127
1375,96
119992,1180
1366,84
1385,103
125578,1274
1858,130
1387,140
1391,105
15720,491
83777,217
1398,135
83778,217
74065,772
1403,147
1405,136
1407,146
6204,446
1412,20
1766,134
1418,37
119993,1180
100509,1075
1413,9
11328,655
23314,491
26457,491
1764,127
1408,106
1420,37
2999,13
30231,220
1393,102
99499,1077
1390,105
125572,201
1401,147
1404,146
100522,105
7316,536
1392,103
1421,140
29122,491
29572,491
34853,491
41746,491
42083,491
45171,491
46473,491
46488,491
52773,491
53034,491
54114,491
83783,401
6369,407
104345,213
168,106
54332,491
55610,491
55934,491
58141,491
59225,491
44235,741
60207,491
60735,491
60994,491
63253,491
63979,491
64230,491
64697,491
11133,500
11494,500
16133,500
17302,500
18175,500
22298,500
24192,500
27235,500
32065,500
34576,500
34744,500
44717,500
46516,500
47026,500
51824,500
52859,500
2714,209
53683,500
54105,500
54599,500
55652,500
55958,500
56366,500
56827,500
57208,500
59217,500
60798,500
60815,500
61689,500
62649,500
63254,500
63967,500
10510,516
11667,516
15631,516
17097,516
17318,516
21007,516
6791,105
22541,516
23373,516
24596,516
25187,516
27803,516
29181,516
30681,516
32538,516
34875,516
45151,516
46785,516
46793,516
51839,516
53498,516
53690,516
55931,516
58142,516
59224,516
60003,516
60817,516
60969,516
61384,516
61649,516
61704,516
63953,516
64134,516
64239,516
11480,523
11481,523
11869,523
15451,523
18208,523
19724,523
20166,523
21028,523
25309,523
25471,523
27247,523
28297,523
28627,523
29190,523
30391,523
33709,523
36931,523
45146,523
52868,523
54618,523
55136,523
55956,523
56689,523
56817,523
56994,523
57210,523
58116,523
58896,523
59244,523
60712,523
60772,523
129860,1307
61010,523
61357,523
61707,523
63245,523
64261,523
65065,523
6749,501
16148,501
16997,501
17321,501
20538,501
23303,501
23825,501
24234,501
24604,501
25201,501
27229,501
27796,501
27838,501
32089,501
34924,501
1767,140
1805,157
35588,501
41771,501
44704,501
52765,501
54600,501
55968,501
56607,501
56812,501
56915,501
57218,501
58932,501
2722,105
2723,141
2725,181
2716,188
60163,501
2335,90
2741,188
44236,742
60721,501
44239,620
61354,501
61714,501
62859,501
63992,501
64393,501
15470,503
17322,503
18182,503
83786,446
83787,253
19745,503
2732,155
20551,503
120164,1180
11431,655
30232,672
24594,503
25200,503
2740,103
2739,189
5185,341
2717,162
2718,8
44240,620
2724,182
26516,503
5694,174
120439,1180
27228,503
11722,655
2733,137
2734,137
2735,137
2736,137
2737,137
27833,503
29189,503
17332,639
100524,822
8495,16
2754,105
30241,562
30571,503
33588,503
33643,503
17336,659
33670,503
2727,103
30239,172
17334,566
36890,503
42063,503
51850,503
54093,503
54605,503
55979,503
58111,503
59248,503
60175,503
60797,503
60814,503
61385,503
61710,503
62835,503
62884,503
63971,503
64303,503
64371,503
64736,503
22335,475
23781,475
1826,105
24628,475
25226,475
25657,475
26459,475
27250,475
27450,475
27677,475
27807,475
28104,475
30641,475
32099,475
36920,475
42080,475
45156,475
48124,475
48790,475
51821,475
52754,475
53175,475
53495,475
53685,475
54274,475
55957,475
57970,475
58103,475
2883,217
1814,157
3715,221
58930,475
2903,141
60737,475
61119,475
61676,475
61723,475
63982,475
63983,475
83790,835
14651,175
6983,445
83797,341
100525,375
129864,1177
129865,1169
2766,227
2769,21
70696,338
16143,485
2782,135
2759,155
18198,485
2794,61
2796,200
2797,171
7391,484
1822,157
32138,620
2818,224
19759,485
23366,485
24301,485
5433,221
11727,655
2798,113
100526,837
120440,1180
70697,135
70698,253
6175,386
2811,113
2812,173
2815,145
2781,189
2785,189
2819,226
2761,208
2762,209
2763,209
24535,485
24657,485
2778,182
25229,485
2783,230
2784,228
84244,899
2786,105
2787,141
5527,217
26426,485
2802,180
100527,620
30236,228
17341,484
2767,99
26453,485
2804,95
2764,224
2821,227
2777,14
100528,566
2776,173
2765,226
2773,188
2780,9
125590,1326
27265,485
2834,254
100529,837
44243,377
44248,727
2827,217
27808,485
27996,485
120605,1180
54152,485
11729,655
30237,647
2857,126
2860,9
2868,60
2869,253
30238,650
2828,174
29006,485
2836,73
2841,175
44256,742
44259,742
2837,73
2823,229
83793,418
2831,220
120606,1180
120608,1180
129872,777
2824,253
2833,253
44245,727
100530,566
2825,217
29580,485
1776,140
83796,855
1777,140
1778,140
1781,151
1782,105
2838,73
30628,485
32100,485
1786,158
1852,105
2839,72
18005,327
2840,177
2832,229
2851,56
4572,294
1779,154
44282,376
120627,1180
125577,136
1787,152
1788,150
32592,485
36912,485
1797,157
1795,156
83795,322
84251,899
1796,156
100532,837
1799,70
1800,105
1803,151
45174,485
13457,404
1807,159
1810,11
1811,147
1812,152
120631,1180
3176,289
51812,485
1790,99
30240,428
1813,101
1801,128
1792,155
1808,61
29981,16
1820,159
7660,508
30242,382
5405,180
1825,133
1831,159
1832,159
74084,746
1817,101
1846,105
100531,566
18006,629
1850,151
1819,157
100533,822
5409,102
1851,154
1821,128
3185,61
29983,16
30346,16
31243,16
99500,1066
2879,224
1830,159
1854,102
1837,59
1838,59
54623,485
55954,485
1853,105
125582,1274
1863,152
5543,201
83800,812
1872,162
74823,406
11730,655
44255,742
1878,151
47985,393
1882,150
83801,653
83802,200
6001,285
56680,485
83798,737
56986,485
1873,161
1877,151
1881,150
60169,485
100535,402
60776,485
61347,485
1899,161
1902,161
1903,161
1904,161
1905,162
100536,402
68069,765
1891,42
1892,42
1857,160
1860,160
83804,401
5534,75
1911,102
1862,154
1871,128
1896,16
1897,16
125585,634
1883,150
129868,1254
1900,161
1901,161
1919,99
4634,136
8601,533
61644,485
1914,105
62624,485
1887,44
1886,44
83805,835
63996,485
1927,93
1917,4
1930,91
1931,91
1921,97
1922,97
1932,6
15892,175
16529,175
1884,144
1912,103
108547,128
1915,151
1916,151
91747,44
129870,446
64208,485
64272,485
64675,485
6600,490
1937,140
1938,140
1939,140
1940,140
1941,140
1942,105
1943,105
1944,152
18007,654
1952,152
1953,152
1954,152
129877,1202
13987,508
1935,3
1936,3
129939,1169
10523,490
1948,151
1949,151
1950,151
1951,151
1955,162
1957,105
8156,609
1971,152
1974,161
4642,69
11135,490
11818,490
15455,490
1982,31
68530,765
1985,105
1986,70
1988,147
1991,147
2880,61
102133,1083
102148,1083
2887,18
2888,253
1992,103
1958,128
1963,162
1964,162
83807,111
1966,161
1968,158
1969,105
1973,162
44264,127
1983,162
1987,162
2000,162
2001,161
15677,490
3182,61
120633,1180
2014,152
25145,490
91748,44
44268,127
3181,95
1972,144
44288,371
1996,163
1961,84
8497,625
1989,103
1967,154
5538,199
2005,70
2854,126
4374,356
7661,548
17305,490
2012,159
2017,140
2863,13
19730,490
2867,126
2026,161
2027,161
20306,490
22387,490
22522,490
23831,490
108549,191
125589,1326
563,20
862,20
2006,163
934,142
2862,9
2013,155
2866,61
2018,151
25540,490
26020,490
27249,490
27794,490
29184,490
32067,490
993,142
995,142
1023,142
1078,142
36944,490
41796,490
125586,1274
32140,622
20225,287
45163,490
2019,163
11846,515
2023,163
957,22
1471,22
1541,22
2024,163
2025,163
3186,155
51826,490
52853,490
55222,490
55942,490
58101,490
59253,490
59996,490
60166,490
60816,490
61633,490
62623,490
63960,490
2044,147
2045,147
1259,20
1513,20
1520,20
1866,20
64205,490
64251,490
64645,490
64682,490
6807,515
11109,515
1856,157
15683,515
18156,515
19715,515
20458,515
21023,515
23335,515
23873,515
25234,515
2111,173
2032,145
125593,622
2046,147
2048,105
2051,105
25504,515
26411,515
2058,147
27240,515
44285,727
2068,170
2069,141
2070,152
2071,147
30243,69
2074,105
2075,105
2080,167
70699,691
2092,31
2102,105
2107,105
83811,896
2052,155
27646,515
3195,127
83810,687
30244,407
2097,172
2055,142
108550,193
125604,840
2047,147
2049,105
2050,151
2057,161
2064,105
2066,49
2076,105
2077,171
2081,171
91752,44
27819,515
83812,895
2085,158
2065,103
2090,170
2091,170
30245,411
2098,171
70817,769
2063,98
2078,169
2067,103
2094,172
2062,90
1874,160
27948,515
125650,860
30246,212
18191,452
2103,105
83813,873
20227,287
120634,1180
28624,515
28695,515
2126,156
2127,105
2130,182
2132,181
83818,325
2108,173
4425,356
3192,133
29186,515
30038,515
11732,655
2146,105
1956,160
30638,515
32795,515
33436,515
33700,515
2106,103
2145,103
2120,179
83814,837
2121,105
4646,188
36393,515
2131,181
83817,148
120656,1180
2156,90
2157,182
41782,515
46480,515
46510,515
2170,182
2128,155
2119,183
4426,356
11750,655
1965,160
83819,727
1980,160
4647,226
4406,160
2141,118
2118,122
83816,418
2152,173
2129,103
47020,515
2154,184
2155,182
2158,182
2159,182
2163,182
2164,182
7662,547
51842,515
2171,184
2172,184
2173,184
52809,515
53691,515
115595,1010
2251,34
54620,515
55962,515
56858,515
2174,183
83815,418
2188,173
5698,173
3197,213
115596,919
120657,1180
2178,180
57967,515
58115,515
60180,515
83820,863
60773,515
2179,180
60997,515
61359,515
2180,180
61695,515
61705,515
99501,1077
92218,44
94243,44
4533,160
63269,515
64263,515
65020,515
11136,524
11868,524
15566,524
16990,524
23308,526
17309,524
23324,524
25190,524
25981,524
26481,524
83821,253
2231,35
2238,8
2244,27
2253,123
27231,524
27805,524
27911,524
27922,524
3201,9
3202,9
3205,9
3206,61
4427,356
4651,285
28678,524
30052,524
2230,183
2241,183
7627,224
7148,386
3199,173
2216,103
2250,103
2242,179
115597,1119
108563,403
9518,372
108565,420
83822,795
6004,285
2212,182
2214,184
32103,524
120658,1180
32762,524
2229,71
2232,27
2206,138
5953,160
34842,524
35814,524
2239,28
2243,25
2245,182
2246,181
2247,31
3215,254
70834,18
108554,224
108560,347
2218,103
108566,428
3220,128
2252,34
3225,157
41786,524
2266,132
2263,133
2264,133
1087,142
2269,105
2275,141
44726,524
2280,31
45158,524
51829,524
55948,524
56325,524
56613,524
58106,524
58888,524
59251,524
60171,524
60696,524
60701,524
83823,827
60958,524
62883,524
63267,524
64298,524
6818,526
10504,526
11101,526
11849,526
16995,526
2256,133
83824,837
3210,155
2353,61
83825,837
2277,27
2278,27
2281,27
2282,35
17320,526
18189,526
19747,526
2288,27
2289,71
7798,319
11762,655
20541,526
2258,103
2265,132
2270,155
20997,526
2267,173
2254,145
70895,191
2255,128
115612,452
115603,420
2290,31
2291,24
2293,27
6205,434
2295,35
2299,181
3216,216
2304,71
2307,127
3221,304
2308,105
83826,837
94268,44
120665,1180
2314,170
2321,140
2322,140
2323,140
2324,140
2325,140
2294,183
1861,157
3214,205
2292,27
2296,31
22514,526
2300,105
2306,36
17350,551
2315,156
2316,156
2317,156
2318,156
2319,156
2330,182
2331,182
23784,526
3229,105
17343,184
2339,8
2340,8
2341,8
3242,9
24233,526
2313,183
7153,468
2320,154
3238,128
4659,199
3226,303
2326,140
2327,140
2328,140
74089,740
2329,140
24537,526
2333,105
2342,182
2345,71
3224,182
2349,71
24598,526
2351,71
2352,181
2354,34
2355,27
2357,71
2358,71
2359,71
2360,35
2365,27
2366,27
1864,157
2356,71
2361,32
2362,32
2363,32
2364,32
2376,184
2377,181
16531,175
25203,526
2382,182
2389,181
2390,181
2391,181
2392,181
2393,181
2394,181
2379,188
2368,37
83827,837
83828,734
86707,862
2388,190
2395,160
25676,526
96331,44
83829,746
2371,182
2374,188
2386,188
2378,182
2384,105
2372,189
2397,167
2398,167
2399,167
2400,167
2401,167
2402,167
2403,167
2404,167
120666,1180
2424,69
2425,69
2426,69
2427,69
2428,69
25961,526
27223,526
27440,526
27652,526
27799,526
115598,1076
27787,457
27884,526
83835,313
83836,313
83840,313
27916,526
28669,526
29022,526
29126,526
30039,526
32793,526
33467,526
2460,189
83837,341
83842,795
1875,157
115600,140
2419,66
2420,66
2421,66
2422,66
2423,66
33686,526
36918,526
83843,863
83845,857
83857,322
2412,61
41778,526
9684,200
42105,526
44737,526
83868,687
2413,38
94641,175
94648,349
94644,583
94645,702
2453,114
2411,13
45736,526
51815,526
52864,526
54122,526
96351,44
83844,857
83846,857
115602,420
83848,418
2477,32
2478,35
