"id","user_id","question_id","trade_id","created_at","updated_at","old_marginal","new_marginal"
30,443,109,950,"2014-01-10 10:44:58.713701","2014-10-21 18:35:41.032907","[0.11289391, 0.11289391, 0.3798142, 0.16860963, 0.11289391, 0.11289391]","[0.11757094, 0.11757094, 0.35412115, 0.175595, 0.11757094, 0.11757094]"
31,439,109,956,"2014-01-10 11:00:26.253381","2014-10-21 18:35:44.564793","[0.11581874, 0.11581874, 0.36374697, 0.17297801, 0.11581874, 0.11581874]","[0.11947671, 0.11947671, 0.34365073, 0.17844145, 0.11947671, 0.11947671]"
32,469,109,978,"2014-01-10 11:46:19.284611","2014-10-21 18:35:51.865326","[0.11846243, 0.11846243, 0.34922445, 0.17692672, 0.11846243, 0.11846243]","[0.106471494, 0.106471494, 0.415097, 0.15901773, 0.106471494, 0.106471494]"
33,85,109,984,"2014-01-10 11:55:16.236745","2014-10-21 18:35:55.376845","[0.1069307, 0.1069307, 0.41257387, 0.1597036, 0.1069307, 0.1069307]","[0.10887602, 0.10887602, 0.4018876, 0.16260888, 0.10887602, 0.10887602]"
34,500,124,1037,"2014-01-10 13:18:40.699873","2014-10-21 18:36:09.732884","[0.9386355, 0.061365306]","[0.9060791, 0.093920834]"
35,537,28,1101,"2014-01-10 15:52:43.905014","2014-10-21 18:36:28.96477","[0.4303407, 0.5696593]","[0.48350284, 0.5164972]"
36,427,109,1174,"2014-01-11 02:29:01.191242","2014-10-21 18:36:47.996944","[0.10754253, 0.10754253, 0.4092121, 0.16061793, 0.10754253, 0.10754253]","[0.11190409, 0.11190409, 0.3852518, 0.16713206, 0.11190409, 0.11190409]"
37,427,109,1175,"2014-01-11 02:29:15.671732","2014-10-21 18:36:50.348801","[0.11190409, 0.11190409, 0.3852518, 0.16713206, 0.11190409, 0.11190409]","[0.11550749, 0.11550749, 0.36545652, 0.17251386, 0.11550749, 0.11550749]"
38,656,124,1208,"2014-01-11 11:27:42.794305","2014-10-21 18:37:00.068818","[0.91778576, 0.08221423]","[0.9296666, 0.07033335]"
39,668,109,1223,"2014-01-11 13:52:02.966943","2014-10-21 18:37:05.752829","[0.1155078, 0.1155078, 0.3654573, 0.17251427, 0.1155078, 0.1155078]","[0.119551584, 0.119551584, 0.34323984, 0.1785542, 0.119551584, 0.119551584]"
40,531,124,1224,"2014-01-11 14:30:06.654389","2014-10-21 18:37:08.141547","[0.93867064, 0.061329305]","[0.918492, 0.08150795]"
41,675,71,1239,"2014-01-11 15:16:06.279234","2014-10-21 18:37:15.844955","[0.053196967, 0.07047932, 0.18759027, 0.20141366, 0.48731983]","[0.05752959, 0.0762195, 0.20286855, 0.21781777, 0.44556457]"
42,688,71,1246,"2014-01-11 18:01:30.09069","2014-10-21 18:37:19.764774","[0.05752959, 0.0762195, 0.20286855, 0.21781777, 0.44556457]","[0.060813107, 0.08056974, 0.21444733, 0.23024976, 0.41392002]"
43,689,40,1255,"2014-01-11 18:18:28.127966","2014-10-21 18:37:24.024856","[0.48413944, 0.4000028, 0.06846657, 0.026333017, 0.021066612]","[0.49416357, 0.3922237, 0.06713503, 0.025820877, 0.020656914]"
44,741,109,1336,"2014-01-12 14:09:33.592234","2014-10-21 18:37:45.009224","[0.1189267, 0.1189267, 0.34667185, 0.17762116, 0.1189267, 0.1189267]","[0.10783125, 0.10783125, 0.40762508, 0.16104984, 0.10783125, 0.10783125]"
45,749,71,1362,"2014-01-12 16:19:19.559201","2014-10-21 18:37:53.305101","[0.060813107, 0.08056974, 0.21444733, 0.23024976, 0.41392002]","[0.06321469, 0.083751544, 0.22291614, 0.23934263, 0.390775]"
46,785,71,1427,"2014-01-13 08:58:35.591094","2014-10-21 18:38:10.69308","[0.06321469, 0.083751544, 0.22291614, 0.23934263, 0.390775]","[0.06512161, 0.08627798, 0.22964056, 0.24656259, 0.37239733]"
47,785,28,1433,"2014-01-13 09:04:58.496094","2014-10-21 18:38:14.216895","[0.16127525, 0.83872473]","[0.14627898, 0.8537211]"
48,796,40,1470,"2014-01-13 14:41:46.672128","2014-10-21 18:38:24.860891","[0.48574692, 0.3987531, 0.06825284, 0.02625077, 0.021000858]","[0.47354597, 0.40821004, 0.06987162, 0.026873378, 0.021498932]"
49,811,71,1509,"2014-01-13 22:44:52.243179","2014-10-21 18:38:36.021044","[0.052416958, 0.069445886, 0.18483967, 0.39355174, 0.29974577]","[0.047048483, 0.062333338, 0.16590863, 0.35324472, 0.37146485]"
50,816,28,1511,"2014-01-14 06:59:06.340067","2014-10-21 18:38:38.61703","[0.3530005, 0.64699954]","[0.3224746, 0.6775254]"
51,830,109,1533,"2014-01-14 16:00:39.288593","2014-10-21 18:38:45.912888","[0.11022769, 0.11022769, 0.39445907, 0.1646297, 0.11022769, 0.11022769]","[0.11522651, 0.11522651, 0.3669999, 0.17209503, 0.11522651, 0.11522651]"
52,59,128,1568,"2014-01-15 12:38:24.15131","2014-10-21 18:39:00.432955","[0.8270604, 0.17293958]","[0.8107776, 0.18922248]"
53,122,20,1579,"2014-01-15 17:53:58.162573","2014-10-21 18:39:07.240944","[0.10000011, 0.89999986]","[0.113361984, 0.88663805]"
54,857,44,1582,"2014-01-15 19:55:44.932662","2014-10-21 18:39:10.053035","[0.43356007, 0.36772606, 0.11742252, 0.045162436, 0.036129978]","[0.4448048, 0.3513264, 0.12046798, 0.04633376, 0.03706705]"
55,857,46,1582,"2014-01-15 19:55:44.932662","2014-10-21 18:39:12.186575","[0.41072968, 0.16318202, 0.16318202, 0.06346062, 0.19944674]","[0.39602423, 0.16725387, 0.16725387, 0.06504425, 0.2044237]"
56,122,20,1602,"2014-01-16 07:38:05.351289","2014-10-21 18:39:18.909179","[0.11539268, 0.88460726]","[0.09995949, 0.90004045]"
57,804,143,1615,"2014-01-16 14:56:08.918517","2014-10-21 18:39:24.029287","[0.34098104, 0.659019]","[0.35558105, 0.6444189]"
58,898,71,1654,"2014-01-17 09:23:41.103069","2014-10-21 18:39:35.27317","[0.03565608, 0.2893815, 0.12573522, 0.2677094, 0.28151777]","[0.036610894, 0.29713064, 0.12910222, 0.27487823, 0.26227808]"
59,903,44,1669,"2014-01-17 14:44:04.709412","2014-10-21 18:39:40.921071","[0.4367575, 0.36306295, 0.118288524, 0.04549548, 0.03639642]","[0.41622868, 0.39299998, 0.112728514, 0.043357015, 0.03468571]"
60,903,46,1669,"2014-01-17 14:44:04.709412","2014-10-21 18:39:43.036686","[0.40654838, 0.16433983, 0.16433983, 0.06391094, 0.20086193]","[0.43339252, 0.15690601, 0.15690601, 0.061019763, 0.19177563]"
61,856,153,1694,"2014-01-17 21:45:07.015529","2014-10-21 18:39:50.900933","[0.7730685, 0.22693142]","[0.78353214, 0.21646783]"
62,923,109,1780,"2014-01-18 19:51:38.321924","2014-10-21 18:40:12.997032","[0.11461045, 0.11461045, 0.37038344, 0.17117491, 0.11461045, 0.11461045]","[0.1075929, 0.1075929, 0.40893418, 0.16069421, 0.1075929, 0.1075929]"
63,821,124,1821,"2014-01-20 10:33:10.035352","2014-10-21 18:40:24.801256","[0.9088108, 0.09118923]","[0.9200013, 0.07999866]"
64,59,109,1867,"2014-01-21 14:59:39.048072","2014-10-21 18:40:37.74514","[0.107593, 0.107593, 0.4089338, 0.16069445, 0.107593, 0.107593]","[0.105308145, 0.105308145, 0.42148492, 0.15728213, 0.105308145, 0.105308145]"
65,176,43,1885,"2014-01-22 12:26:33.853295","2014-10-21 18:40:44.112991","[0.32086536, 0.08432756, 0.05305114, 0.043632712, 0.49813873]","[0.3302786, 0.08680144, 0.054607496, 0.04491276, 0.4833994]"
66,176,43,1886,"2014-01-22 12:26:47.197112","2014-10-21 18:40:46.47717","[0.3302786, 0.08680144, 0.054607496, 0.04491276, 0.4833994]","[0.32206604, 0.084643096, 0.05324966, 0.043795988, 0.49624497]"
67,176,43,1888,"2014-01-22 12:27:02.454171","2014-10-21 18:40:49.109286","[0.31656927, 0.08319847, 0.052340843, 0.043048527, 0.5048425]","[0.30314785, 0.07967118, 0.05012177, 0.041223414, 0.5258359]"
68,1028,71,2239,"2014-01-31 18:24:05.980246","2014-10-21 18:42:24.117439","[0.041608736, 0.3, 0.11414619, 0.24616271, 0.29808235]","[0.042809304, 0.30865613, 0.11743973, 0.2532654, 0.2778294]"
69,459,109,2272,"2014-02-01 07:23:53.645655","2014-10-21 18:42:42.549487","[0.10921916, 0.10921916, 0.40000042, 0.16312335, 0.10921916, 0.10921916]","[0.11528908, 0.11528908, 0.36665452, 0.17218894, 0.11528908, 0.11528908]"
70,1050,28,2289,"2014-02-01 13:16:49.780279","2014-10-21 18:42:48.689363","[0.21122871, 0.7887713]","[0.19275023, 0.8072498]"
71,1056,28,2304,"2014-02-02 06:23:39.560576","2014-10-21 18:42:54.417403","[0.19275023, 0.8072498]","[0.23250179, 0.7674982]"
72,1063,28,2345,"2014-02-02 17:55:36.576779","2014-10-21 18:43:08.377445","[0.26111573, 0.73888427]","[0.2305575, 0.7694425]"
73,1067,28,2349,"2014-02-03 02:21:30.261178","2014-10-21 18:43:11.433478","[0.2305575, 0.7694425]","[0.2073987, 0.79260135]"
74,1068,28,2351,"2014-02-03 07:13:01.192839","2014-10-21 18:43:16.197349","[0.18779974, 0.81220025]","[0.17549784, 0.8245022]"
75,1002,157,2383,"2014-02-03 20:13:37.899595","2014-10-21 18:43:28.229644","[0.80442905, 0.19557098]","[0.8296692, 0.17033082]"
76,1002,103,2383,"2014-02-03 20:13:37.899595","2014-10-21 18:43:30.351729","[0.5731039, 0.42689607]","[0.59847844, 0.4015216]"
77,8,71,2497,"2014-02-04 11:52:41.399912","2014-10-21 18:44:29.325572","[0.0049037677, 0.7115811, 0.23552705, 0.028503597, 0.019484427]","[0.00518399, 0.6761505, 0.22413686, 0.027622737, 0.06690583]"
78,1093,155,2598,"2014-02-04 16:07:10.35505","2014-10-21 18:46:35.889744","[0.23656628, 0.7634337]","[0.24786563, 0.7521343]"
79,1093,102,2598,"2014-02-04 16:07:10.35505","2014-10-21 18:46:38.006782","[0.34113032, 0.6588697]","[0.35269067, 0.6473093]"
80,1062,102,2727,"2014-02-08 12:52:39.696267","2014-10-21 18:48:24.250153","[0.3488464, 0.65115356]","[0.33858785, 0.6614121]"
81,1118,157,2758,"2014-02-10 11:06:22.29457","2014-10-21 18:48:42.521959","[0.9132945, 0.08670557]","[0.92408913, 0.075910896]"
82,1118,103,2758,"2014-02-10 11:06:22.29457","2014-10-21 18:48:44.666451","[0.475167, 0.5248331]","[0.49228817, 0.5077119]"
83,1135,155,2874,"2014-02-13 13:32:12.185613","2014-10-21 18:49:21.331869","[0.38246852, 0.61753136]","[0.32476538, 0.67523456]"
84,1142,155,2894,"2014-02-13 16:22:56.882024","2014-10-21 18:49:32.58212","[0.31309128, 0.68690866]","[0.3306368, 0.6693634]"
85,1142,40,2896,"2014-02-13 16:37:40.684005","2014-10-21 18:49:35.210621","[0.33792895, 0.4989734, 0.11564639, 0.02636256, 0.02108879]","[0.34819278, 0.49123818, 0.11385353, 0.025953863, 0.020761847]"
86,1075,155,2897,"2014-02-13 16:37:57.74838","2014-10-21 18:49:37.581894","[0.3306368, 0.6693634]","[0.34219143, 0.65780866]"
87,1143,155,2899,"2014-02-13 16:43:17.620595","2014-10-21 18:49:40.186182","[0.34219143, 0.65780866]","[0.35791013, 0.64208996]"
88,1164,155,3034,"2014-02-20 08:50:25.857994","2014-10-21 18:50:23.238524","[0.3299799, 0.67002016]","[0.31958947, 0.6804105]"
89,1164,102,3034,"2014-02-20 08:50:25.857994","2014-10-21 18:50:25.383563","[0.2923237, 0.7076764]","[0.2822537, 0.7177463]"
90,1175,157,3042,"2014-02-20 09:35:10.781921","2014-10-21 18:50:38.062384","[0.89062864, 0.109371416]","[0.91289103, 0.08710881]"
91,85,124,3054,"2014-02-20 11:19:58.787957","2014-10-21 18:50:45.23865","[0.935713, 0.06428699]","[0.9255444, 0.07445563]"
92,1193,102,3084,"2014-02-20 18:13:45.590085","2014-10-21 18:50:58.83841","[0.28139484, 0.7186052]","[0.2949226, 0.70507747]"
93,1197,109,3098,"2014-02-20 21:42:24.04432","2014-10-21 18:51:04.326511","[0.13259447, 0.14202943, 0.33207607, 0.16588256, 0.11582515, 0.11159223]","[0.14375558, 0.14975627, 0.30989626, 0.16775006, 0.116106726, 0.11273518]"
94,1197,116,3098,"2014-02-20 21:42:24.04432","2014-10-21 18:51:06.462264","[0.1367402, 0.13460292, 0.25021127, 0.27880523, 0.107531235, 0.092109054]","[0.15366535, 0.14608239, 0.2404575, 0.26793692, 0.10333943, 0.08851845]"
95,1197,118,3098,"2014-02-20 21:42:24.04432","2014-10-21 18:51:08.586156","[0.15287033, 0.1367784, 0.156169, 0.29905167, 0.1402912, 0.11483932]","[0.16709168, 0.14353879, 0.15155621, 0.29021856, 0.13614741, 0.11144737]"
96,1197,119,3098,"2014-02-20 21:42:24.04432","2014-10-21 18:51:10.728851","[0.14252292, 0.17099921, 0.17909198, 0.28036642, 0.11392979, 0.11308959]","[0.15623802, 0.17899047, 0.17724183, 0.27062386, 0.109004185, 0.10790168]"
97,1197,121,3098,"2014-02-20 21:42:24.04432","2014-10-21 18:51:12.88393","[0.1471087, 0.13049123, 0.13984664, 0.1316886, 0.26959777, 0.181267]","[0.16634068, 0.13817772, 0.13956346, 0.12535813, 0.25786754, 0.17269251]"
98,1220,143,3146,"2014-02-21 11:43:53.59424","2014-10-21 18:51:26.530526","[0.2236737, 0.77632636]","[0.24981815, 0.7501818]"
99,1220,132,3151,"2014-02-21 11:46:16.441142","2014-10-21 18:51:29.862258","[0.391468, 0.6085319]","[0.40169254, 0.59830743]"
100,1229,124,3170,"2014-02-21 15:13:04.000849","2014-10-21 18:51:36.614748","[0.93375385, 0.066246174]","[0.88229424, 0.11770572]"
101,1229,126,3170,"2014-02-21 15:13:04.000849","2014-10-21 18:51:38.73433","[0.7771185, 0.22288148]","[0.7660686, 0.23393139]"
102,1229,104,3172,"2014-02-21 15:14:57.464267","2014-10-21 18:51:41.334446","[0.013737267, 0.07160746, 0.092166886, 0.19518343, 0.22390546, 0.4034011]","[0.013392936, 0.06981261, 0.0898567, 0.19029106, 0.21829312, 0.41835338]"
103,1243,124,3220,"2014-02-23 02:24:10.205182","2014-10-21 18:51:55.258461","[0.888798, 0.111202]","[0.9045464, 0.09545356]"
104,1259,155,3247,"2014-02-23 16:41:32.570258","2014-10-21 18:52:04.015306","[0.29999995, 0.7]","[0.18071851, 0.8192816]"
105,1259,155,3248,"2014-02-23 16:52:00.953422","2014-10-21 18:52:06.386551","[0.18071851, 0.8192816]","[0.25647375, 0.7435262]"
106,122,155,3251,"2014-02-23 23:48:12.724306","2014-10-21 18:52:09.298342","[0.25647375, 0.7435262]","[0.27214733, 0.7278528]"
107,1260,157,3256,"2014-02-24 04:21:53.266143","2014-10-21 18:52:12.610841","[0.85000014, 0.15000002]","[0.82609904, 0.173901]"
108,711,157,3257,"2014-02-24 08:11:00.818571","2014-10-21 18:52:15.010514","[0.82609904, 0.173901]","[0.84039104, 0.1596089]"
109,1260,102,3259,"2014-02-24 08:48:42.532948","2014-10-21 18:52:17.622459","[0.4053249, 0.59467506]","[0.39075536, 0.6092446]"
110,1025,103,3281,"2014-02-24 15:57:03.408489","2014-10-21 18:52:25.438709","[0.5900188, 0.4099812]","[0.6027786, 0.39722136]"
111,1268,71,3297,"2014-02-25 00:52:34.235232","2014-10-21 18:52:31.422655","[0.03862972, 0.6301347, 0.2088831, 0.060000006, 0.06235255]","[0.04044303, 0.60065866, 0.19940309, 0.05827679, 0.10121843]"
112,1271,102,3302,"2014-02-25 08:13:31.468118","2014-10-21 18:52:34.770537","[0.5231316, 0.4768684]","[0.5333516, 0.46664834]"
113,1272,102,3305,"2014-02-25 09:26:39.037559","2014-10-21 18:52:37.634699","[0.5292121, 0.47078782]","[0.51223165, 0.4877683]"
114,1274,157,3309,"2014-02-25 10:11:03.822816","2014-10-21 18:52:40.914762","[0.87481356, 0.1251865]","[0.90033555, 0.099664405]"
115,1274,157,3310,"2014-02-25 10:12:36.015211","2014-10-21 18:52:43.278602","[0.90033555, 0.099664405]","[0.8891362, 0.11086377]"
116,1095,109,3392,"2014-02-25 18:43:01.250397","2014-10-21 18:53:05.110791","[0.14022195, 0.14784998, 0.30303162, 0.17133917, 0.122468725, 0.115088746]","[0.15189436, 0.15579732, 0.28326842, 0.17225888, 0.121168524, 0.11561282]"
117,1095,114,3392,"2014-02-25 18:43:01.250397","2014-10-21 18:53:07.233602","[0.3397568, 0.1314554, 0.17219089, 0.11840519, 0.11918026, 0.11901164]","[0.35290477, 0.1331838, 0.16734669, 0.115074135, 0.11582739, 0.11566353]"
118,1095,116,3392,"2014-02-25 18:43:01.250397","2014-10-21 18:53:09.359325","[0.1435487, 0.13922082, 0.24628776, 0.27443314, 0.105845034, 0.09066466]","[0.16242546, 0.15202396, 0.2354093, 0.26231164, 0.10116988, 0.08666005]"
119,1095,118,3392,"2014-02-25 18:43:01.250397","2014-10-21 18:53:11.491735","[0.15859126, 0.13949797, 0.1543134, 0.29549837, 0.1386243, 0.11347489]","[0.17445244, 0.14703792, 0.14916871, 0.2856467, 0.13400272, 0.109691806]"
120,1095,119,3392,"2014-02-25 18:43:01.250397","2014-10-21 18:53:13.613955","[0.14702424, 0.17254148, 0.17632747, 0.2737336, 0.11510493, 0.11526848]","[0.16257195, 0.18186763, 0.17476337, 0.26353842, 0.10883108, 0.10842785]"
121,1095,121,3392,"2014-02-25 18:43:01.250397","2014-10-21 18:53:15.728556","[0.13962579, 0.11961342, 0.22018132, 0.11880948, 0.2384377, 0.1633325]","[0.15914726, 0.12765409, 0.22030473, 0.11188843, 0.22691932, 0.15408644]"
122,60,121,3557,"2014-02-26 18:19:04.178319","2014-10-21 18:53:57.278835","[0.15386862, 0.1251039, 0.21965156, 0.113847256, 0.23076057, 0.15676911]","[0.14286876, 0.11792602, 0.21521713, 0.118360944, 0.24236435, 0.16326249]"
123,60,116,3557,"2014-02-26 18:19:04.178319","2014-10-21 18:53:59.396102","[0.15711376, 0.14842132, 0.2384706, 0.26572272, 0.10248551, 0.087786995]","[0.1450173, 0.14021686, 0.24544118, 0.27349004, 0.105481185, 0.09035306]"
124,60,118,3557,"2014-02-26 18:19:04.178319","2014-10-21 18:54:01.529189","[0.16998932, 0.14491631, 0.1506165, 0.28841913, 0.1353033, 0.110756435]","[0.15982528, 0.14008456, 0.15391302, 0.29473156, 0.13826467, 0.11318052]"
125,60,119,3557,"2014-02-26 18:19:04.178319","2014-10-21 18:54:03.64471","[0.15827382, 0.17885536, 0.17469332, 0.26661256, 0.11076897, 0.11079694]","[0.15011252, 0.17167363, 0.1739025, 0.27795872, 0.11347617, 0.11287612]"
126,1292,157,3582,"2014-02-26 19:29:55.263869","2014-10-21 18:54:11.75066","[0.9097987, 0.09020126]","[0.9270954, 0.07290465]"
127,1292,155,3586,"2014-02-26 19:36:33.648441","2014-10-21 18:54:14.826394","[0.47200567, 0.5279945]","[0.37809736, 0.6219026]"
128,1292,155,3587,"2014-02-26 19:37:07.145032","2014-10-21 18:54:17.202673","[0.37809736, 0.6219026]","[0.5008308, 0.49916908]"
129,1045,103,3691,"2014-02-27 01:27:49.493964","2014-10-21 18:54:44.146537","[0.49369553, 0.50630456]","[0.50677043, 0.49322954]"
130,821,155,3755,"2014-02-28 00:18:30.944705","2014-10-21 18:55:03.682483","[0.39999998, 0.59999996]","[0.3836307, 0.6163694]"
131,122,128,3763,"2014-02-28 00:45:16.937577","2014-10-21 18:55:47.766684","[0.8218543, 0.17814569]","[0.7924992, 0.20750082]"
132,296,103,3787,"2014-02-28 11:35:39.143135","2014-10-21 18:55:57.7665","[0.44050756, 0.55949247]","[0.4519805, 0.5480195]"
133,1125,128,3795,"2014-02-28 15:26:42.205829","2014-10-21 18:56:01.810477","[0.7924992, 0.20750082]","[0.8259825, 0.17401737]"
134,1239,155,3876,"2014-03-02 11:10:19.292518","2014-10-21 18:56:30.362572","[0.30723312, 0.69276685]","[0.29229048, 0.70770943]"
135,1319,102,3886,"2014-03-02 14:09:37.724314","2014-10-21 18:56:35.114851","[0.5260201, 0.47397986]","[0.5372591, 0.4627408]"
136,85,109,3892,"2014-03-02 14:20:56.911517","2014-10-21 18:56:40.774742","[0.14180276, 0.14676419, 0.27844942, 0.18069336, 0.13040142, 0.12188883]","[0.13901661, 0.14377834, 0.29144263, 0.17778367, 0.12807414, 0.11990416]"
137,1019,103,3975,"2014-03-03 22:13:19.590098","2014-10-21 18:57:04.974903","[0.6202984, 0.37970176]","[0.60585755, 0.3941424]"
138,253,103,3988,"2014-03-04 10:27:41.987377","2014-10-21 18:57:12.675585","[0.6058577, 0.39414248]","[0.6195748, 0.3804253]"
139,1100,103,4007,"2014-03-04 13:04:23.997813","2014-10-21 18:57:23.917158","[0.61981755, 0.3801825]","[0.63167113, 0.36832887]"
140,1099,102,4028,"2014-03-05 11:14:16.98684","2014-10-21 18:57:31.366518","[0.6456676, 0.35433248]","[0.6352722, 0.36472777]"
141,1099,102,4047,"2014-03-06 08:11:12.514159","2014-10-21 18:57:38.23216","[0.63437366, 0.36562622]","[0.62363505, 0.37636492]"
142,7,124,4069,"2014-03-06 11:11:17.953917","2014-10-21 18:57:45.79099","[0.9020636, 0.09793634]","[0.87837, 0.12163003]"
143,7,124,4070,"2014-03-06 11:12:00.33471","2014-10-21 18:57:48.150963","[0.87837, 0.12163003]","[0.888798, 0.11120201]"
144,1331,103,4084,"2014-03-06 16:47:08.447053","2014-10-21 18:58:00.2612","[0.49596325, 0.5040368]","[0.50615764, 0.49384236]"
145,1333,155,4099,"2014-03-07 06:27:46.376182","2014-10-21 18:58:05.966988","[0.3110055, 0.68899447]","[0.27509964, 0.72490036]"
146,1333,102,4099,"2014-03-07 06:27:46.376182","2014-10-21 18:58:08.085514","[0.7147081, 0.28529185]","[0.6638646, 0.33613545]"
147,1333,102,4100,"2014-03-07 06:28:34.574509","2014-10-21 18:58:10.434653","[0.6638646, 0.33613545]","[0.6745829, 0.32541707]"
148,1334,155,4123,"2014-03-07 15:17:08.010601","2014-10-21 18:58:18.603094","[0.2731082, 0.7268919]","[0.28359455, 0.71640545]"
149,1334,102,4123,"2014-03-07 15:17:08.010601","2014-10-21 18:58:21.167014","[0.6724361, 0.32756394]","[0.6873622, 0.3126378]"
150,122,102,4172,"2014-03-08 02:01:30.098295","2014-10-21 18:58:37.343497","[0.6893564, 0.3106436]","[0.70171696, 0.29828286]"
